,Attraction,AttractionType,CityName,Country,Region,Continent
5859,Yogyakarta Palace,Historic Sites,Paris,France,Western Europe,Europe
5861,Sewu Temple,Ancient Ruins,Paris,France,Western Europe,Europe
5865,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Australia,Australia,Australia,Australia & Oceania
5910,Tegalalang Rice Terrace,Points of Interest & Landmarks,Australia,Australia,Australia,Australia & Oceania
5927,Bromo Tengger Semeru National Park,National Parks,Australia,Australia,Australia,Australia & Oceania
5928,Tegenungan Waterfall,Waterfalls,Australia,Australia,Australia,Australia & Oceania
5938,Nusa Dua Beach,Beaches,Australia,Australia,Australia,Australia & Oceania
5946,Kuta Beach - Bali,Beaches,Australia,Australia,Australia,Australia & Oceania
5955,Sanur Beach,Beaches,Australia,Australia,Australia,Australia & Oceania
5963,Seminyak Beach,Beaches,Australia,Australia,Australia,Australia & Oceania
5969,Tanah Lot Temple,Religious Sites,Australia,Australia,Australia,Australia & Oceania
5984,Uluwatu Temple,Religious Sites,Australia,Australia,Australia,Australia & Oceania
5994,Waterbom Bali,Water Parks,Australia,Australia,Australia,Australia & Oceania
6035,Merapi Volcano,Volcanos,Australia,Australia,Australia,Australia & Oceania
6036,Malioboro Road,Flea & Street Markets,Australia,Australia,Australia,Australia & Oceania
6037,Jodipan Colorful Village,Neighborhoods,Australia,Australia,Australia,Australia & Oceania
6038,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tokoroa,New Zealand,Oceania,Australia & Oceania
6039,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Perth,Australia,Australia,Australia & Oceania
6292,Tegalalang Rice Terrace,Points of Interest & Landmarks,Perth,Australia,Australia,Australia & Oceania
6407,Water Castle (Tamansari),Points of Interest & Landmarks,Perth,Australia,Australia,Australia & Oceania
6409,Malang City Square,Points of Interest & Landmarks,Perth,Australia,Australia,Australia & Oceania
6410,Bromo Tengger Semeru National Park,National Parks,Perth,Australia,Australia,Australia & Oceania
6412,Tegenungan Waterfall,Waterfalls,Perth,Australia,Australia,Australia & Oceania
6474,Coban Rondo Waterfall,Waterfalls,Perth,Australia,Australia,Australia & Oceania
6476,Nusa Dua Beach,Beaches,Perth,Australia,Australia,Australia & Oceania
6564,Kuta Beach - Bali,Beaches,Perth,Australia,Australia,Australia & Oceania
6682,Sanur Beach,Beaches,Perth,Australia,Australia,Australia & Oceania
6848,Seminyak Beach,Beaches,Perth,Australia,Australia,Australia & Oceania
6957,Goa Cina Beach,Beaches,Perth,Australia,Australia,Australia & Oceania
6958,Tanah Lot Temple,Religious Sites,Perth,Australia,Australia,Australia & Oceania
7052,Uluwatu Temple,Religious Sites,Perth,Australia,Australia,Australia & Oceania
7137,Waterbom Bali,Water Parks,Perth,Australia,Australia,Australia & Oceania
7767,Ullen Sentalu Museum,History Museums,Perth,Australia,Australia,Australia & Oceania
7771,Merapi Volcano,Volcanos,Perth,Australia,Australia,Australia & Oceania
7779,Mount Semeru Volcano,Volcanos,Perth,Australia,Australia,Australia & Oceania
7780,Malioboro Road,Flea & Street Markets,Perth,Australia,Australia,Australia & Oceania
7787,Yogyakarta Palace,Historic Sites,Perth,Australia,Australia,Australia & Oceania
7792,Jodipan Colorful Village,Neighborhoods,Perth,Australia,Australia,Australia & Oceania
7793,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Byron Bay,Australia,Australia,Australia & Oceania
7802,Tegalalang Rice Terrace,Points of Interest & Landmarks,Byron Bay,Australia,Australia,Australia & Oceania
7803,Sanur Beach,Beaches,Byron Bay,Australia,Australia,Australia & Oceania
7806,Waterbom Bali,Water Parks,Byron Bay,Australia,Australia,Australia & Oceania
7811,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Los Angeles,United States,Northern America,America
7914,Tegalalang Rice Terrace,Points of Interest & Landmarks,Los Angeles,United States,Northern America,America
7949,Tegenungan Waterfall,Waterfalls,Los Angeles,United States,Northern America,America
7958,Nusa Dua Beach,Beaches,Los Angeles,United States,Northern America,America
7964,Kuta Beach - Bali,Beaches,Los Angeles,United States,Northern America,America
7977,Sanur Beach,Beaches,Los Angeles,United States,Northern America,America
7985,Seminyak Beach,Beaches,Los Angeles,United States,Northern America,America
7993,Tanah Lot Temple,Religious Sites,Los Angeles,United States,Northern America,America
8004,Uluwatu Temple,Religious Sites,Los Angeles,United States,Northern America,America
8019,Waterbom Bali,Water Parks,Los Angeles,United States,Northern America,America
8025,Malioboro Road,Flea & Street Markets,Los Angeles,United States,Northern America,America
8027,Ramayana Ballet at Prambanan,Ballets,Los Angeles,United States,Northern America,America
8031,Yogyakarta Palace,Historic Sites,Los Angeles,United States,Northern America,America
8033,Sewu Temple,Ancient Ruins,Los Angeles,United States,Northern America,America
8036,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Denman,Australia,Australia,Australia & Oceania
8037,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Rotterdam,Netherlands,Western Europe,Europe
8053,Tegalalang Rice Terrace,Points of Interest & Landmarks,Rotterdam,Netherlands,Western Europe,Europe
8060,Tegenungan Waterfall,Waterfalls,Rotterdam,Netherlands,Western Europe,Europe
8063,Kuta Beach - Bali,Beaches,Rotterdam,Netherlands,Western Europe,Europe
8066,Sanur Beach,Beaches,Rotterdam,Netherlands,Western Europe,Europe
8072,Seminyak Beach,Beaches,Rotterdam,Netherlands,Western Europe,Europe
8075,Tanah Lot Temple,Religious Sites,Rotterdam,Netherlands,Western Europe,Europe
8076,Uluwatu Temple,Religious Sites,Rotterdam,Netherlands,Western Europe,Europe
8077,Waterbom Bali,Water Parks,Rotterdam,Netherlands,Western Europe,Europe
8081,Mount Semeru Volcano,Volcanos,Rotterdam,Netherlands,Western Europe,Europe
8082,Malioboro Road,Flea & Street Markets,Rotterdam,Netherlands,Western Europe,Europe
8083,Yogyakarta Palace,Historic Sites,Rotterdam,Netherlands,Western Europe,Europe
8084,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Widnes,United Kingdom,Western Europe,Europe
8085,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Helsinki,Finland,Northern Europe,Europe
8121,Tegalalang Rice Terrace,Points of Interest & Landmarks,Helsinki,Finland,Northern Europe,Europe
8135,Tegenungan Waterfall,Waterfalls,Helsinki,Finland,Northern Europe,Europe
8140,Nusa Dua Beach,Beaches,Helsinki,Finland,Northern Europe,Europe
8141,Kuta Beach - Bali,Beaches,Helsinki,Finland,Northern Europe,Europe
8145,Sanur Beach,Beaches,Helsinki,Finland,Northern Europe,Europe
8149,Seminyak Beach,Beaches,Helsinki,Finland,Northern Europe,Europe
8154,Tanah Lot Temple,Religious Sites,Helsinki,Finland,Northern Europe,Europe
8157,Uluwatu Temple,Religious Sites,Helsinki,Finland,Northern Europe,Europe
8160,Waterbom Bali,Water Parks,Helsinki,Finland,Northern Europe,Europe
8162,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Bendigo,Australia,Australia,Australia & Oceania
8171,Tegalalang Rice Terrace,Points of Interest & Landmarks,Bendigo,Australia,Australia,Australia & Oceania
8172,Tegenungan Waterfall,Waterfalls,Bendigo,Australia,Australia,Australia & Oceania
8173,Kuta Beach - Bali,Beaches,Bendigo,Australia,Australia,Australia & Oceania
8175,Sanur Beach,Beaches,Bendigo,Australia,Australia,Australia & Oceania
8178,Seminyak Beach,Beaches,Bendigo,Australia,Australia,Australia & Oceania
8180,Tanah Lot Temple,Religious Sites,Bendigo,Australia,Australia,Australia & Oceania
8185,Uluwatu Temple,Religious Sites,Bendigo,Australia,Australia,Australia & Oceania
8188,Waterbom Bali,Water Parks,Bendigo,Australia,Australia,Australia & Oceania
8203,Sewu Temple,Ancient Ruins,Bendigo,Australia,Australia,Australia & Oceania
8206,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Richmond,Canada,Northern America,America
8216,Tegalalang Rice Terrace,Points of Interest & Landmarks,Richmond,Canada,Northern America,America
8220,Tegenungan Waterfall,Waterfalls,Richmond,Canada,Northern America,America
8222,Nusa Dua Beach,Beaches,Richmond,Canada,Northern America,America
8223,Kuta Beach - Bali,Beaches,Richmond,Canada,Northern America,America
8224,Sanur Beach,Beaches,Richmond,Canada,Northern America,America
8227,Seminyak Beach,Beaches,Richmond,Canada,Northern America,America
8230,Tanah Lot Temple,Religious Sites,Richmond,Canada,Northern America,America
8232,Uluwatu Temple,Religious Sites,Richmond,Canada,Northern America,America
8235,Waterbom Bali,Water Parks,Richmond,Canada,Northern America,America
8236,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Manila,United States,Northern America,America
8258,Tegalalang Rice Terrace,Points of Interest & Landmarks,Manila,United States,Northern America,America
8275,Tegenungan Waterfall,Waterfalls,Manila,United States,Northern America,America
8278,Nusa Dua Beach,Beaches,Manila,United States,Northern America,America
8287,Kuta Beach - Bali,Beaches,Manila,United States,Northern America,America
8293,Sanur Beach,Beaches,Manila,United States,Northern America,America
8300,Seminyak Beach,Beaches,Manila,United States,Northern America,America
8304,Goa Cina Beach,Beaches,Manila,United States,Northern America,America
8305,Tanah Lot Temple,Religious Sites,Manila,United States,Northern America,America
8318,Uluwatu Temple,Religious Sites,Manila,United States,Northern America,America
8336,Waterbom Bali,Water Parks,Manila,United States,Northern America,America
8342,Merapi Volcano,Volcanos,Manila,United States,Northern America,America
8345,Malioboro Road,Flea & Street Markets,Manila,United States,Northern America,America
8353,Yogyakarta Palace,Historic Sites,Manila,United States,Northern America,America
8354,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Saint Paul,United States,Northern America,America
8356,Tegalalang Rice Terrace,Points of Interest & Landmarks,Saint Paul,United States,Northern America,America
8357,Kuta Beach - Bali,Beaches,Saint Paul,United States,Northern America,America
8358,Sanur Beach,Beaches,Saint Paul,United States,Northern America,America
8359,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Porirua,New Zealand,Oceania,Australia & Oceania
8362,Kuta Beach - Bali,Beaches,Porirua,New Zealand,Oceania,Australia & Oceania
8363,Waterbom Bali,Water Parks,Porirua,New Zealand,Oceania,Australia & Oceania
8366,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Hobart,Australia,Australia,Australia & Oceania
8381,Tegalalang Rice Terrace,Points of Interest & Landmarks,Hobart,Australia,Australia,Australia & Oceania
8389,Tegenungan Waterfall,Waterfalls,Hobart,Australia,Australia,Australia & Oceania
